episode,rounds,ally_return,enemy_return,total_return,outcome,ally_turns_episode,random_fallback_episode,random_move_rate_episode,game_legal_move_rate,game_parsed_move_rate,game_format_compliance_rate,game_reasoning_rate,game_mean_capture_value,game_mean_best_candidate_reward,game_mean_chosen_engine_reward,game_move_diversity,game_legal_move_diversity,game_mean_legal_anchor_count,game_cp_saturation_truncated,game_mean_chosen_cp_delta_raw,game_mean_chosen_cp_delta_clipped,game_mean_ally_cp_after_move_red,game_median_ally_cp_after_move_red,game_ally_cp_after_move_red_ema,grpo_loss,grpo_mean_kl,grpo_mean_kl_per_token,grpo_mean_kl_think,grpo_mean_kl_move,grpo_policy_entropy_move,grpo_pg_clip_frac,grpo_ratio_mean,grpo_ppo_epochs_completed,grpo_mean_reward,grpo_update_rate,grpo_skip_low_reward_std_rate,grpo_engine_align_loss,grpo_engine_align_kl,grpo_engine_align_entropy,grpo_engine_align_target_entropy,grpo_engine_align_valid_count,mfu,hfu,mfu_step_time_sec,game_engine_best_known_rate,game_engine_best_in_group_rate,game_chosen_is_engine_argmax_in_group_rate,game_chosen_is_engine_best_overall_rate,game_mean_chosen_engine_rank_in_group,game_median_chosen_engine_rank_in_group,game_mean_chosen_minus_argmax_cp_delta,game_mean_r_best_in_group_rate,game_mean_r_good_in_group_rate,game_chosen_r_best_rate,game_chosen_r_good_rate,game_enemy_epsilon_current,game_enemy_pikafish_prune_rate,game_consecutive_self_play_wins,game_self_play_enemy_id,game_global_train_step_end
1,100,6.5,23.0,29.5,truncated_cap,50,0,0.0,1.0,1.0,0.993083,0.993083,0.13,5.247281,2.059323,1.0,1.0,0.0,0,-469.32,-285.34,-569.9,-608.0,-569.9,-7.4513908475637435e-06,0.021784256007058116,0.021784256007058116,0.02375014159815631,0.0002561311914805315,0.025449776495993906,0.0,1.0,1.0,2.080424885749817,100.0,0.0,0.01924730859696865,0.3849461662769318,0.4823480534553528,0.9588857913762331,30.36,0.4021801154794727,0.49960135492961677,19.378033351413904,100.0,90.0,0.0,0.0,15.38,13.0,-451.34,0.0,0.0,0.0,0.0,,3.7467758722114124,0,0,50
1,100,9.0,3.0,12.0,truncated_cap,50,0,0.0,1.0,1.0,1.0,0.0,0.18,0.0,0.0,1.0,1.0,0.0,0,-661.9,-327.28,-513.4,-426.5,-513.4,0.0,0.09928483763088783,0.09928483763088783,0.0,0.08675714811931051,0.9412343192100525,0.0,0.5,1.0,0.0,100.0,100.0,0.017449836647138,0.3489967256784439,3.1615676164627073,3.465735912322998,32.0,0.28105741820847,0.35123023247334323,19.610448616333304,100.0,70.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.20165664764967917,0,0,50
2,100,11.0,9.0,20.0,truncated_cap,50,0,0.0,1.0,1.0,1.0,0.0,0.22,0.0,0.0,1.0,1.0,0.0,0,-319.26,-220.2,-73.46,-67.0,-425.41200000000003,0.0,0.22135995499428718,0.22135995499428718,0.0,0.20922709810957626,1.0122645964952033,0.0,0.5903225806451613,1.0,0.0,100.0,100.0,0.00834325814153999,0.16686516121029854,3.251304054260254,3.4035708117485046,30.64,0.3089211253472998,0.38205545251429873,17.844761821888387,100.0,94.0,100.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.9817324176941777,0,0,100
1,100,11.5,10.0,21.5,truncated_cap,50,0,0.0,1.0,1.0,1.0,0.0,0.23,5.166382,2.578458,1.0,1.0,0.0,0,-1994.8367346938776,-243.0,488.0408163265306,416.0,488.0408163265306,-0.002346415943466127,0.6611891625969801,0.6611891625969801,0.0,0.6611891625969801,0.8958296880885479,0.0,0.92,0.9,2.0653410720825196,98.0,10.0,0.11889158260077239,2.3778316056728364,2.722837357521057,1.3279411416173388,30.78,0.3739619651243501,0.45046599955624456,18.211610848122106,98.0,72.0,20.0,10.0,9.88,5.5,-1889.9795918367347,0.0,0.0,0.0,0.0,,2.8535805380647936,0,0,50
2,100,17.5,21.0,38.5,truncated_cap,50,0,0.0,1.0,1.0,1.0,0.0,0.35,5.147952,2.407885,1.0,1.0,0.0,0,-561.62,-257.8,59.52,32.0,402.3366530612245,-0.0072767672594636675,0.33414850703450616,0.33414850703450616,0.0,0.33414850703450616,1.0618223251786925,0.0,0.98,0.98,2.3197304153442384,100.0,2.0,0.1251771754398942,2.5035434770584106,2.903991446495056,1.3303518457338215,31.36,0.3641335764850771,0.4373076009402584,18.195683478135617,100.0,82.0,6.0,6.0,14.56,14.0,-342.78,0.0,0.0,0.0,0.0,,3.1566675021143062,0,0,100
3,100,11.0,2.0,13.0,truncated_cap,50,0,0.0,1.0,1.0,1.0,0.0,0.22,4.52769,1.809675,1.0,1.0,0.0,0,-1667.952380952381,-282.0238095238095,-185.97619047619048,194.0,284.67408435374153,-0.006196033996529877,0.292492806335851,0.292492806335851,0.0,0.292492806335851,0.9120944900906856,0.0,1.0,0.84,1.668631715774536,84.0,16.0,0.1172501465678215,2.3450028705596924,2.4818095350265503,0.789998482838273,26.86,0.36855162480263737,0.44218510598724914,18.882705944922886,84.0,70.0,20.0,4.0,11.38,8.5,-1662.3809523809523,0.0,0.0,0.0,0.0,,6.372912790690544,0,0,150
4,100,23.5,5.0,28.5,truncated_cap,50,0,0.0,1.0,1.0,1.0,0.0,0.47,4.94009,2.73462,1.0,1.0,0.0,0,-284.82,-214.64,527.18,706.5,333.1752674829932,-0.006301237791776657,0.41963376469910146,0.41963376469910146,0.0,0.41963376469910146,1.0497573095560073,0.0,1.0,1.0,2.4147735738754275,100.0,0.0,0.11763974696397782,2.352794900536537,2.923769381046295,1.5189520048350096,32.0,0.36904550759448,0.4427776623618768,19.327899696100502,100.0,68.0,8.0,8.0,13.5,13.5,-250.32,0.0,0.0,0.0,0.0,,0.20952663809806668,0,0,200
5,100,10.5,16.5,27.0,truncated_cap,50,0,0.0,1.0,1.0,1.0,0.0,0.21,5.044273,2.064426,1.0,1.0,0.0,0,-497.12,-293.36,-93.54,-10.5,247.83221398639458,0.00016124438028782605,1.0658220810318988,1.0658220810318988,0.0,1.0658220810318988,1.0496975669264794,0.0,0.94,0.94,1.9981946754455566,100.0,6.0,0.1196827770024538,2.3936554950475695,2.9826255416870118,1.2179943953081966,32.0,0.3712393254437067,0.44671586033620914,18.762392923999577,100.0,82.0,4.0,4.0,13.0,11.0,-453.92,0.0,0.0,0.0,0.0,,8.500029792528766,0,0,250
6,100,26.0,31.5,57.5,truncated_cap,50,0,0.0,1.0,1.0,1.0,0.0,0.52,5.409461,2.62567,1.0,1.0,0.0,0,-1617.12,-240.72,-1396.04,-424.5,-80.94222881088436,-0.007142697856761515,0.4024783320834415,0.4024783320834415,0.0,0.4024783320834415,1.1167457255162718,0.0,1.0,1.0,2.5256691908836366,100.0,0.0,0.12073269262909889,2.414653799533844,2.786600342988968,1.1081541787460447,26.86,0.36711565732017193,0.44046224441048004,15.127178498879076,100.0,94.0,10.0,10.0,12.48,10.0,-1611.94,0.0,0.0,0.0,0.0,,4.409416388672726,0,0,300
7,100,22.0,12.0,34.0,truncated_cap,50,0,0.0,1.0,1.0,1.0,0.0,0.44,5.753833,3.242071,1.0,1.0,0.0,0,-1195.18,-177.52,762.56,616.5,87.75821695129251,-0.00419528509140946,0.6965887398998528,0.6965887398998528,0.0,0.6965887398998528,1.1161203353282785,0.0,0.98,0.98,2.807845778465271,100.0,2.0,0.09181475207209587,1.836295000910759,2.9810821199417115,1.5922094915194611,31.76,0.36449971724815766,0.4377606993127569,18.530495449379085,100.0,86.0,18.0,14.000000000000002,12.3,8.0,-1349.0,0.0,0.0,0.0,0.0,,7.005898057585183,0,0,350
